iter	RMSE
0	10161.91183
1	9928.87381
2	9698.465329
3	9474.462436
4	9260.209208
5	9055.863386
6	8854.37087
7	8663.84391
8	8477.993634
9	8300.031582
10	8126.310647
11	7956.662201
12	7793.445831
13	7636.763267
14	7485.647048
15	7340.787197
16	7199.676731
17	7066.154436
18	6933.765846
19	6806.182638
20	6684.085827
21	6568.576927
22	6452.762553
23	6344.141424
24	6238.150328
25	6138.737003
26	6038.839541
27	5945.282319
28	5854.366709
29	5769.800895
30	5684.783864
31	5604.52337
32	5528.823604
33	5454.378326
34	5383.829947
35	5314.460847
36	5249.62872
37	5184.536545
38	5124.11021
39	5064.819239
40	5007.426254
41	4951.045695
42	4900.074534
43	4850.548493
44	4800.618312
45	4752.932901
46	4708.026244
47	4663.613158
48	4621.868904
49	4582.74833
50	4542.901556
51	4505.067379
52	4469.118023
53	4433.583232
54	4401.246289
55	4366.954389
56	4335.960373
57	4305.964274
58	4276.895477
59	4248.204124
60	4219.90587
61	4194.209481
62	4168.73758
63	4144.090518
64	4119.665846
65	4097.564991
66	4075.411725
67	4054.589216
68	4034.07281
69	4013.427911
70	3994.20205
71	3974.681038
72	3955.775812
73	3938.440624
74	3921.609874
75	3904.014789
76	3886.659529
77	3871.761693
78	3856.299702
79	3841.884377
80	3826.43749
81	3813.070334
82	3799.548833
83	3786.978277
84	3772.630164
85	3758.947293
86	3746.980341
87	3734.307531
88	3723.087627
89	3712.449779
90	3701.373604
91	3691.085911
92	3680.523075
93	3671.456378
94	3661.45577
95	3651.806604
96	3642.200677
97	3633.40346
98	3623.016564
99	3614.819404
100	3606.299002
101	3598.988405
102	3590.696647
103	3582.172236
104	3575.838265
105	3568.50517
106	3560.082067
107	3552.627444
108	3545.967066
109	3539.590962
110	3533.224938
111	3526.005262
112	3517.941691
113	3511.036066
114	3505.402488
115	3499.550633
116	3493.616249
117	3486.746345
118	3481.293856
119	3475.418469
120	3470.28762
121	3463.92716
122	3457.629678
123	3452.529861
124	3447.977598
125	3442.237651
126	3437.020122
127	3430.288681
128	3425.826942
129	3421.391961
130	3416.862249
131	3413.555196
132	3409.104375
133	3405.413113
134	3401.417416
135	3396.500696
136	3392.489202
137	3388.803695
138	3384.753068
139	3379.4193
140	3376.377067
141	3372.50424
142	3368.775356
143	3364.722018
144	3361.317305
145	3358.15177
146	3355.418743
147	3351.820574
148	3348.468339
149	3345.29389
150	3341.841735
151	3339.279691
152	3336.019268
153	3332.790874
154	3328.230063
155	3323.920295
156	3320.566561
157	3316.981129
158	3313.60188
159	3310.739298
160	3308.570017
161	3304.913844
162	3301.666926
163	3298.86686
164	3296.188643
165	3292.871521
166	3291.360526
167	3288.045039
168	3285.225702
169	3282.349518
170	3279.591894
171	3276.853408
172	3274.514385
173	3271.515606
174	3268.886877
175	3266.660039
176	3264.903202
177	3262.071781
178	3259.124467
179	3256.658066
180	3254.373758
181	3252.621758
182	3250.157453
183	3248.775123
184	3246.334311
185	3243.917736
186	3242.081143
187	3240.213356
188	3238.754015
189	3236.765367
190	3235.226081
191	3233.278966
192	3230.861054
193	3228.462545
194	3226.823447
195	3224.82103
196	3223.186669
197	3221.237899
198	3219.479154
199	3216.652522
200	3214.921544
201	3212.887948
202	3211.062965
203	3208.118245
204	3206.397837
205	3204.869452
206	3203.894624
207	3201.705665
208	3199.376343
209	3197.200851
210	3195.127333
211	3193.705385
212	3191.75214
213	3189.120411
214	3187.093624
215	3185.507767
216	3183.526092
217	3181.713951
218	3180.687952
219	3179.795711
220	3177.903143
221	3175.495447
222	3174.468441
223	3172.623628
224	3170.962301
225	3169.569987
226	3168.866984
227	3166.909313
228	3165.497694
229	3163.173897
230	3160.615615
231	3158.900737
232	3157.687609
233	3156.122719
234	3154.221569
235	3151.958187
236	3150.253396
237	3148.514496
238	3147.676309
239	3147.30062
240	3145.65828
241	3144.524159
242	3142.335071
243	3141.611651
244	3139.739649
245	3137.648496
246	3135.384594
247	3132.902205
248	3131.305619
249	3129.768168
250	3127.460433
251	3124.89682
252	3123.450551
253	3122.124688
254	3120.096923
255	3119.692835
256	3117.803417
257	3116.223557
258	3114.308487
259	3113.217455
260	3112.583533
261	3110.892393
262	3108.601234
263	3107.944757
264	3106.430191
265	3105.720133
266	3104.249761
267	3102.858174
268	3100.644585
269	3099.317702
270	3098.28987
271	3096.898853
272	3095.137923
273	3093.761908
274	3092.105338
275	3090.738689
276	3089.959763
277	3088.966387
278	3087.501968
279	3085.996132
280	3083.834622
281	3082.44538
282	3080.939181
283	3080.535073
284	3078.332228
285	3076.563568
286	3074.925615
287	3073.671165
288	3072.083152
289	3071.443511
290	3070.133698
291	3069.101388
292	3067.701693
293	3066.249733
294	3065.230656
295	3063.754871
296	3062.607106
297	3060.685214
298	3059.179392
299	3058.068884
300	3057.312582
301	3055.466907
302	3054.104012
303	3052.384464
304	3051.666682
305	3050.657717
306	3049.431321
307	3047.797943
308	3046.611502
309	3045.196545
310	3044.266235
311	3042.840634
312	3041.809965
313	3040.578732
314	3039.626408
315	3038.270978
316	3037.08805
317	3035.129009
318	3034.353451
319	3033.428714
320	3032.428437
321	3031.233927
322	3029.612383
323	3028.052742
324	3026.741921
325	3025.164633
326	3023.674847
327	3022.577419
328	3021.547953
329	3020.644487
330	3019.211511
331	3017.556218
332	3016.371122
333	3014.723443
334	3014.134895
335	3013.470334
336	3012.934112
337	3011.383309
338	3010.178848
339	3008.87667
340	3007.297347
341	3006.119799
342	3004.241868
343	3004.01786
344	3002.604572
345	3001.299366
346	3000.150942
347	2998.681114
348	2996.773801
349	2995.218622
350	2993.288974
351	2992.13266
352	2990.869728
353	2989.132102
354	2987.895185
355	2986.744039
356	2985.779129
357	2984.256741
358	2982.979359
359	2981.850756
360	2980.585022
361	2979.270512
362	2978.356406
363	2977.292925
364	2976.164415
365	2975.611474
366	2974.71827
367	2973.578027
368	2973.006595
369	2972.007398
370	2970.632813
371	2969.393664
372	2967.591183
373	2966.562393
374	2965.489079
375	2964.44084
376	2963.557044
377	2962.512286
378	2961.356049
379	2959.629768
380	2958.8045
381	2957.912426
382	2956.613894
383	2955.726757
384	2954.275769
385	2953.292162
386	2952.748321
