iter	Passed	Remaining
0	4	31419
1	8	28301
2	12	26540
3	15	25770
4	18	24759
5	22	24653
6	26	24397
7	29	24212
8	33	24030
9	37	24189
10	40	24054
11	43	23897
12	47	23695
13	50	23547
14	53	23489
15	57	23465
16	60	23386
17	64	23302
18	67	23295
19	71	23242
20	74	23255
21	78	23244
22	82	23276
23	86	23433
24	89	23401
25	93	23353
26	96	23333
27	100	23423
28	104	23405
29	107	23392
30	111	23350
31	115	23426
32	118	23411
33	122	23434
34	126	23425
35	129	23402
36	133	23452
37	136	23404
38	140	23445
39	144	23414
40	147	23457
41	151	23431
42	154	23379
43	158	23362
44	161	23375
45	165	23352
46	168	23332
47	172	23311
48	175	23269
49	178	23235
50	183	23304
51	186	23281
52	190	23281
53	193	23269
54	197	23330
55	203	23561
56	207	23597
57	211	23619
58	215	23648
59	218	23642
60	222	23650
61	226	23654
62	230	23660
63	234	23692
64	237	23689
65	242	23767
66	245	23752
67	249	23737
68	253	23755
69	256	23734
70	260	23766
71	264	23757
72	268	23783
73	272	23825
74	276	23846
75	280	23857
76	284	23889
77	288	23915
78	292	23911
79	296	23946
80	300	23985
81	304	23987
82	308	24014
83	312	24001
84	316	24040
85	320	24047
86	324	24075
87	328	24103
88	332	24098
89	336	24114
90	339	24101
91	343	24117
92	347	24105
93	351	24127
94	356	24170
95	359	24139
96	363	24136
97	366	24112
98	370	24101
99	373	24084
100	377	24069
101	381	24056
102	384	24041
103	387	24016
104	391	24004
105	395	24001
106	398	23989
107	402	23985
108	406	23995
109	410	23989
110	414	23988
111	417	23983
112	421	23976
113	425	23984
114	429	23982
115	432	23978
116	436	23974
117	440	23969
118	444	23967
119	447	23954
120	451	23937
121	454	23917
122	457	23892
123	461	23875
124	464	23845
125	467	23827
126	472	23848
127	476	23854
128	480	23868
129	483	23858
130	487	23836
131	490	23818
132	494	23816
133	497	23794
134	500	23769
135	504	23749
136	507	23735
137	511	23715
138	514	23708
139	518	23692
140	521	23672
141	524	23648
142	528	23628
143	531	23619
144	534	23600
145	538	23586
146	541	23573
147	545	23555
148	548	23544
149	552	23537
150	555	23514
151	558	23494
152	562	23484
153	565	23470
154	569	23456
155	572	23448
156	576	23436
157	579	23419
158	582	23401
159	586	23397
160	589	23378
161	593	23363
162	596	23348
163	600	23359
164	604	23371
165	608	23366
166	611	23351
167	615	23347
168	618	23332
169	622	23324
170	626	23335
171	630	23334
172	633	23329
173	637	23326
174	640	23310
175	643	23292
176	647	23282
177	650	23268
178	654	23261
179	657	23249
180	661	23244
181	664	23225
182	668	23213
183	671	23198
184	674	23185
185	678	23180
186	681	23168
187	685	23159
188	688	23148
189	692	23137
190	695	23122
191	698	23113
192	702	23109
193	706	23109
194	709	23105
195	713	23099
196	716	23092
197	720	23085
198	723	23068
199	727	23062
200	730	23053
201	734	23038
202	737	23031
203	741	23028
204	744	23019
205	748	23006
206	751	22991
207	754	22982
208	758	22972
209	761	22959
210	764	22951
211	768	22955
212	772	22968
213	776	22961
214	780	22964
215	783	22957
216	787	22962
217	791	22961
218	795	22961
219	799	22971
220	803	22990
221	807	22993
222	811	22995
223	815	22992
224	819	23011
225	823	23008
226	826	22997
227	830	23005
228	834	23011
229	838	23018
230	842	23013
231	845	23006
232	849	22990
233	853	22994
234	856	22985
235	859	22976
236	863	22970
237	866	22963
238	870	22952
239	873	22940
240	877	22931
241	880	22920
242	884	22914
243	887	22906
244	890	22899
245	894	22889
246	897	22881
247	901	22872
248	904	22859
249	908	22858
250	911	22855
251	915	22848
252	918	22839
253	922	22825
254	925	22817
255	928	22806
256	932	22797
257	935	22788
258	939	22782
259	942	22767
260	945	22757
261	948	22740
262	952	22732
263	955	22721
264	958	22710
265	961	22695
266	965	22688
267	968	22673
268	971	22666
269	975	22653
270	978	22641
271	981	22631
272	985	22627
273	988	22620
274	992	22613
275	996	22614
276	999	22617
277	1003	22616
278	1007	22619
279	1011	22619
280	1015	22624
281	1018	22619
282	1022	22608
283	1025	22598
284	1029	22593
285	1032	22587
286	1035	22577
287	1039	22571
288	1042	22562
289	1046	22551
290	1049	22540
291	1052	22534
292	1055	22520
293	1059	22509
294	1062	22503
295	1066	22497
296	1069	22487
297	1072	22478
298	1076	22473
299	1079	22461
300	1082	22453
301	1086	22450
302	1089	22443
303	1093	22436
304	1096	22427
305	1100	22418
306	1103	22417
307	1107	22410
308	1110	22409
309	1114	22404
310	1117	22396
311	1121	22394
312	1124	22386
313	1128	22379
314	1131	22372
315	1135	22368
316	1139	22373
317	1143	22377
318	1146	22368
319	1150	22370
320	1153	22361
321	1157	22355
322	1160	22348
323	1164	22347
324	1167	22339
325	1172	22347
326	1175	22342
327	1179	22340
328	1182	22330
329	1186	22331
330	1189	22327
331	1194	22346
332	1198	22351
333	1202	22347
334	1206	22357
335	1210	22352
336	1214	22355
337	1218	22366
338	1222	22362
339	1227	22386
340	1230	22383
341	1235	22389
342	1238	22384
343	1242	22379
344	1245	22380
345	1249	22375
346	1252	22369
347	1256	22370
348	1260	22373
349	1264	22372
350	1268	22373
351	1272	22371
352	1276	22380
353	1280	22380
354	1283	22376
355	1288	22384
356	1292	22389
357	1296	22389
358	1299	22385
359	1303	22379
360	1306	22371
361	1310	22365
362	1313	22358
363	1316	22349
364	1320	22346
365	1323	22339
366	1327	22329
367	1330	22319
368	1333	22311
369	1337	22305
370	1340	22300
371	1344	22297
372	1348	22295
373	1351	22290
374	1355	22284
375	1358	22278
376	1362	22274
377	1365	22266
378	1369	22261
379	1372	22259
380	1376	22253
381	1379	22248
382	1383	22243
383	1386	22240
384	1390	22242
385	1394	22245
386	1399	22251
387	1403	22254
388	1407	22266
389	1411	22260
390	1414	22251
391	1417	22244
392	1421	22243
393	1425	22238
394	1428	22231
395	1431	22220
396	1435	22214
397	1438	22210
398	1442	22203
399	1445	22200
400	1449	22196
401	1452	22188
402	1456	22181
403	1459	22176
404	1463	22172
405	1466	22170
406	1470	22165
407	1474	22162
408	1477	22160
409	1481	22152
410	1484	22141
411	1487	22136
412	1491	22132
413	1494	22128
414	1498	22121
415	1501	22111
416	1504	22103
417	1508	22099
418	1511	22093
419	1515	22085
420	1519	22085
421	1523	22088
422	1526	22085
423	1530	22085
424	1534	22084
425	1539	22097
426	1542	22090
427	1546	22094
428	1550	22100
429	1555	22106
430	1559	22109
431	1563	22106
432	1567	22108
433	1571	22114
434	1575	22115
435	1579	22117
436	1583	22118
437	1587	22121
438	1591	22127
439	1595	22127
440	1599	22132
441	1604	22139
442	1608	22149
443	1612	22150
444	1617	22167
445	1621	22167
446	1625	22170
447	1630	22176
448	1634	22181
449	1638	22176
450	1642	22178
451	1645	22174
452	1650	22187
453	1655	22197
454	1658	22193
455	1662	22193
456	1667	22207
457	1672	22210
458	1675	22208
459	1679	22210
460	1683	22210
461	1687	22207
462	1691	22204
463	1694	22200
464	1699	22209
465	1703	22205
466	1706	22202
467	1710	22199
468	1714	22203
469	1718	22201
470	1722	22198
471	1726	22198
472	1730	22201
473	1734	22207
474	1738	22203
475	1742	22203
476	1746	22202
477	1750	22203
478	1754	22204
479	1757	22198
480	1761	22200
481	1765	22199
482	1769	22198
483	1773	22192
484	1777	22202
485	1781	22198
486	1785	22194
487	1789	22196
488	1793	22198
489	1798	22209
490	1801	22206
491	1805	22201
492	1809	22199
493	1813	22199
494	1817	22198
495	1820	22194
496	1824	22186
497	1828	22187
498	1832	22187
499	1835	22185
500	1839	22180
501	1844	22189
502	1848	22193
503	1852	22188
504	1855	22182
505	1859	22181
506	1863	22177
507	1866	22171
508	1870	22164
509	1873	22162
510	1878	22173
